index,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
10,6564,BTN,Asia,Bhutan,2021-01-15,837.0,3.0,9.429,1.0,0.0,0.0,1084.742,3.888,12.219000000000001,1.296,0.0,0.0,1.0,371.0,32.010999999999996,1955.0,168.685,2838.847,244.947,909.5239999999999,78.477,7656097.0,35840.0,660.6,3.092,41871.0,3.613,0.053,18.9,tests performed,141758.0,15430.0,11419.0,1.22,985.0,81.94,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,0.6,12.3,79.807,1.7,71.78,0.612
11,48717,SYC,Africa,Seychelles,2021-01-15,656.0,29.0,29.285999999999998,1.0,0.0,0.0,6670.734,294.895,297.801,10.169,0.0,0.0,0.34,1065.0,55.36,3770.0,369.727,19.332,3.5660000000000003,5310.204000000001,276.031,2496125.0,10534.0,366.829,1.548,10283.0,1.511,0.165,6.1,people tested,4000.0,40221.0,667.0,4.07,6783.0,54.63,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,97.719,3.6,73.4,0.797
12,9088,BDI,Africa,Burundi,2021-01-15,1150.0,47.0,37.857,2.0,0.0,0.0,96.714,3.9530000000000003,3.1839999999999997,0.168,0.0,0.0,1.12,380.0,54.688,4205.0,605.1709999999999,2838.847,244.947,909.5239999999999,78.477,1285526.0,7920.0,185.00900000000001,1.14,6507.0,0.9359999999999999,0.064,15.5,tests performed,25251.0,1124.0,1081.0,0.36,156.0,14.81,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,1.6,23.9,6.144,0.8,61.58,0.41700000000000004
13,45486,RUS,Europe,Russia,2021-01-15,3483531.0,24294.0,23195.429,63558.0,542.0,498.714,23870.517000000003,166.472,158.944,435.524,3.714,3.417,0.92,1065.0,55.36,3770.0,369.727,19.332,3.5660000000000003,5310.204000000001,276.031,96211226.0,583820.0,659.2769999999999,4.001,424810.0,2.911,0.055,18.3,tests performed,1000000.0,39712.0,18182.0,0.69,125.0,50.46,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,78.46300000000001,8.05,72.58,0.816
14,8791,BFA,Africa,Burkina Faso,2021-01-15,8882.0,73.0,145.143,97.0,0.0,1.143,424.909,3.492,6.944,4.64,0.0,0.055,1.12,380.0,54.688,4205.0,605.1709999999999,2838.847,244.947,909.5239999999999,78.477,1285526.0,7920.0,185.00900000000001,1.14,6507.0,0.9359999999999999,0.064,15.5,tests performed,25251.0,1124.0,1081.0,0.36,156.0,19.44,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423
15,29815,KWT,Asia,Kuwait,2021-01-15,156964.0,530.0,498.714,947.0,1.0,1.0,36754.873,124.105,116.78,221.75099999999998,0.23399999999999999,0.23399999999999999,1.49,2615.0,43.25,26042.0,430.718,29.198,5.912999999999999,3948.68,65.309,1380643.0,10862.0,323.293,2.543,9859.0,2.309,0.051,19.8,tests performed,2500.0,20996.0,41012.0,0.06,678.0,62.96,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,0.6,132.235,15.84,2.7,37.0,24.651,2.0,75.49,0.8029999999999999
16,50820,ZAF,Africa,South Africa,2021-01-15,1311686.0,14880.0,17016.571,36467.0,615.0,577.429,22116.252999999997,250.891,286.915,614.868,10.369000000000002,9.736,1.39,202.0,97.165,1192.0,573.371,113.89200000000001,54.784,743.294,357.536,7498780.0,65209.0,126.436,1.099,65014.0,1.0959999999999999,0.262,3.8,people tested,47931.0,4062.0,2624.0,2.31,1262.0,56.48,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
17,55186,THA,Asia,Thailand,2021-01-15,11680.0,230.0,232.429,70.0,1.0,0.429,167.335,3.295,3.33,1.003,0.013999999999999999,0.006,1.34,372.0,36.834,2844.0,281.605,172.761,17.105999999999998,1832.854,39.201,1625271.0,7229.0,23.285,0.10400000000000001,14759.0,0.21100000000000002,0.013000000000000001,76.0,tests performed,110000.0,77364.0,7143.0,1.27,825.0,63.89,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
18,25129,IND,Asia,India,2021-01-15,10542841.0,15158.0,18489.143,152093.0,175.0,217.571,7639.715999999999,10.984000000000002,13.398,110.212,0.127,0.158,0.81,0.0,0.0,20.0,58.608000000000004,103.991,9.977,2.8680000000000003,8.404,184962401.0,730096.0,134.03,0.529,803720.0,0.5820000000000001,0.023,43.5,samples tested,0.0,5327.0,63.0,0.0,185.0,68.98,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
19,49379,SGP,Asia,Singapore,2021-01-15,59059.0,30.0,31.857,29.0,0.0,0.0,10094.964,5.127999999999999,5.445,4.957,0.0,0.0,1.26,1065.0,55.36,3770.0,369.727,19.332,3.5660000000000003,5310.204000000001,276.031,5837181.0,10534.0,997.75,1.548,31709.0,5.42,0.001,995.4,samples tested,6200.0,2800.0,2800.0,0.11,479.0,48.15,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,52.2,92.243,10.99,5.2,28.3,19.275,2.4,83.62,0.932
