index,country,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
205354,France,2020-08-14,-11.0,1.0,182.0,-21.0,-51.0,9.0
205355,France,2020-08-15,-30.0,-24.0,157.0,-3.0,-27.0,0.0
205356,France,2020-08-16,0.0,20.0,129.0,0.0,2.0,-3.0
205357,France,2020-08-17,3.0,16.0,214.0,-22.0,-51.0,8.0
205358,France,2020-08-18,1.0,10.0,219.0,-24.0,-48.0,8.0
205359,France,2020-08-19,-9.0,4.0,180.0,-25.0,-45.0,7.0
205360,France,2020-08-20,-9.0,4.0,202.0,-25.0,-48.0,7.0
205361,France,2020-08-21,-14.0,-3.0,158.0,-22.0,-47.0,9.0
205362,France,2020-08-22,-22.0,-10.0,116.0,-1.0,-13.0,-1.0
205363,France,2020-08-23,-2.0,14.0,112.0,0.0,6.0,-3.0
205364,France,2020-08-24,-2.0,7.0,161.0,-22.0,-41.0,7.0
205365,France,2020-08-25,-3.0,4.0,154.0,-22.0,-40.0,7.0
205366,France,2020-08-26,-9.0,0.0,141.0,-21.0,-35.0,5.0
205367,France,2020-08-27,-8.0,3.0,130.0,-21.0,-38.0,6.0
205368,France,2020-08-28,-12.0,-3.0,74.0,-20.0,-38.0,8.0
205369,France,2020-08-29,-18.0,-7.0,44.0,-7.0,-12.0,1.0
205370,France,2020-08-30,-8.0,4.0,43.0,-7.0,2.0,0.0
205371,France,2020-08-31,0.0,7.0,81.0,-18.0,-34.0,6.0
205372,France,2020-09-01,-3.0,7.0,81.0,-15.0,-33.0,5.0
205373,France,2020-09-02,-10.0,4.0,82.0,-15.0,-29.0,4.0
205374,France,2020-09-03,-11.0,2.0,79.0,-13.0,-30.0,3.0
205375,France,2020-09-04,-10.0,-1.0,80.0,-9.0,-29.0,3.0
205376,France,2020-09-05,-13.0,-3.0,75.0,-6.0,-9.0,-1.0
205377,France,2020-09-06,-2.0,11.0,74.0,-5.0,2.0,-1.0
205378,France,2020-09-07,-5.0,4.0,85.0,-10.0,-31.0,2.0
205379,France,2020-09-08,-7.0,1.0,89.0,-9.0,-30.0,2.0
205380,France,2020-09-09,-12.0,-1.0,81.0,-12.0,-27.0,3.0
205381,France,2020-09-10,-12.0,0.0,82.0,-10.0,-28.0,1.0
205382,France,2020-09-11,-12.0,-4.0,82.0,-6.0,-28.0,1.0
205383,France,2020-09-12,-15.0,-6.0,86.0,-4.0,-9.0,-2.0
205384,France,2020-09-13,-2.0,10.0,101.0,-1.0,2.0,-4.0
205385,France,2020-09-14,-10.0,0.0,93.0,-11.0,-23.0,1.0
205386,France,2020-09-15,-10.0,-1.0,85.0,-10.0,-22.0,2.0
205387,France,2020-09-16,-15.0,-4.0,78.0,-11.0,-22.0,2.0
205388,France,2020-09-17,-15.0,-3.0,75.0,-13.0,-23.0,2.0
205389,France,2020-09-18,-14.0,-6.0,65.0,-8.0,-23.0,2.0
205390,France,2020-09-19,-19.0,-9.0,54.0,-10.0,-9.0,0.0
205391,France,2020-09-20,-10.0,1.0,59.0,-7.0,0.0,-1.0
205392,France,2020-09-21,-12.0,-2.0,59.0,-11.0,-23.0,3.0
205393,France,2020-09-22,-13.0,-3.0,52.0,-11.0,-21.0,3.0
205394,France,2020-09-23,-18.0,-4.0,39.0,-13.0,-18.0,4.0
205395,France,2020-09-24,-20.0,-4.0,22.0,-14.0,-19.0,4.0
205396,France,2020-09-25,-19.0,-6.0,12.0,-12.0,-20.0,5.0
205397,France,2020-09-26,-20.0,-6.0,11.0,-17.0,-9.0,3.0
205398,France,2020-09-27,-24.0,-9.0,-1.0,-20.0,-5.0,3.0
205399,France,2020-09-28,-16.0,-3.0,21.0,-15.0,-18.0,4.0
205400,France,2020-09-29,-14.0,-1.0,29.0,-13.0,-17.0,4.0
205401,France,2020-09-30,-16.0,-1.0,29.0,-12.0,-17.0,3.0
205402,France,2020-10-01,-19.0,0.0,7.0,-13.0,-16.0,3.0
205403,France,2020-10-02,-21.0,-5.0,-12.0,-13.0,-18.0,5.0
205404,France,2020-10-03,-18.0,-3.0,-6.0,-15.0,-10.0,3.0
205405,France,2020-10-04,-21.0,-6.0,-7.0,-17.0,-6.0,2.0
205406,France,2020-10-05,-15.0,-2.0,6.0,-13.0,-18.0,3.0
205407,France,2020-10-06,-14.0,0.0,7.0,-12.0,-17.0,3.0
205408,France,2020-10-07,-17.0,-1.0,18.0,-13.0,-16.0,3.0
205409,France,2020-10-08,-18.0,-2.0,21.0,-13.0,-16.0,3.0
205410,France,2020-10-09,-17.0,-3.0,17.0,-11.0,-16.0,4.0
205411,France,2020-10-10,-18.0,-5.0,16.0,-15.0,-8.0,2.0
205412,France,2020-10-11,-22.0,-5.0,4.0,-19.0,-6.0,2.0
205413,France,2020-10-12,-16.0,-4.0,18.0,-15.0,-17.0,4.0
205414,France,2020-10-13,-17.0,1.0,11.0,-15.0,-17.0,4.0
205415,France,2020-10-14,-20.0,-1.0,11.0,-15.0,-15.0,5.0
205416,France,2020-10-15,-20.0,0.0,6.0,-14.0,-16.0,4.0
205417,France,2020-10-16,-18.0,-2.0,8.0,-10.0,-16.0,5.0
205418,France,2020-10-17,-23.0,-5.0,15.0,-13.0,-11.0,3.0
205419,France,2020-10-18,-15.0,1.0,46.0,-10.0,-7.0,1.0
205420,France,2020-10-19,-14.0,0.0,48.0,-21.0,-32.0,8.0
205421,France,2020-10-20,-16.0,-2.0,27.0,-22.0,-31.0,8.0
205422,France,2020-10-21,-20.0,-4.0,28.0,-21.0,-28.0,7.0
205423,France,2020-10-22,-18.0,-1.0,31.0,-21.0,-31.0,8.0
205424,France,2020-10-23,-21.0,-4.0,15.0,-21.0,-33.0,10.0
205425,France,2020-10-24,-27.0,-7.0,15.0,-17.0,-16.0,4.0
205426,France,2020-10-25,-20.0,2.0,11.0,-20.0,-11.0,2.0
205427,France,2020-10-26,-15.0,0.0,29.0,-26.0,-37.0,9.0
205428,France,2020-10-27,-15.0,2.0,25.0,-25.0,-36.0,10.0
205429,France,2020-10-28,-13.0,11.0,24.0,-24.0,-31.0,7.0
205430,France,2020-10-29,9.0,28.0,37.0,-13.0,-33.0,4.0
205431,France,2020-10-30,-62.0,-22.0,-27.0,-48.0,-44.0,20.0
205432,France,2020-10-31,-68.0,-24.0,-43.0,-52.0,-34.0,16.0
205433,France,2020-11-01,-65.0,-26.0,-48.0,-49.0,-32.0,11.0
205434,France,2020-11-02,-52.0,-13.0,-20.0,-42.0,-30.0,13.0
205435,France,2020-11-03,-53.0,-12.0,-21.0,-42.0,-31.0,14.0
205436,France,2020-11-04,-57.0,-17.0,-22.0,-44.0,-31.0,15.0
205437,France,2020-11-05,-55.0,-11.0,-20.0,-43.0,-30.0,14.0
205438,France,2020-11-06,-55.0,-13.0,-27.0,-44.0,-30.0,17.0
205439,France,2020-11-07,-64.0,-19.0,-46.0,-59.0,-33.0,17.0
205440,France,2020-11-08,-62.0,-22.0,-40.0,-61.0,-33.0,13.0
205441,France,2020-11-09,-49.0,-13.0,-11.0,-42.0,-31.0,14.0
205442,France,2020-11-10,-49.0,0.0,-15.0,-40.0,-33.0,13.0
205443,France,2020-11-11,-74.0,-52.0,-24.0,-72.0,-81.0,30.0
205444,France,2020-11-12,-54.0,-3.0,-19.0,-41.0,-32.0,14.0
205445,France,2020-11-13,-54.0,-9.0,-29.0,-43.0,-32.0,17.0
205446,France,2020-11-14,-63.0,-16.0,-36.0,-55.0,-31.0,16.0
205447,France,2020-11-15,-66.0,-24.0,-50.0,-61.0,-34.0,13.0
205448,France,2020-11-16,-51.0,-14.0,-18.0,-41.0,-30.0,13.0
205449,France,2020-11-17,-51.0,-11.0,-13.0,-40.0,-30.0,14.0
205450,France,2020-11-18,-55.0,-14.0,-12.0,-42.0,-30.0,14.0
205451,France,2020-11-19,-53.0,-10.0,-25.0,-43.0,-29.0,14.0
205452,France,2020-11-20,-52.0,-10.0,-29.0,-43.0,-29.0,16.0
205453,France,2020-11-21,-59.0,-15.0,-38.0,-55.0,-29.0,15.0
205454,France,2020-11-22,-60.0,-18.0,-37.0,-59.0,-30.0,12.0
205455,France,2020-11-23,-48.0,-15.0,-16.0,-42.0,-29.0,13.0
205456,France,2020-11-24,-49.0,-12.0,-16.0,-41.0,-29.0,13.0
205457,France,2020-11-25,-53.0,-15.0,-20.0,-42.0,-29.0,14.0
205458,France,2020-11-26,-51.0,-9.0,-20.0,-41.0,-27.0,13.0
205459,France,2020-11-27,-50.0,-8.0,-28.0,-42.0,-27.0,15.0
205460,France,2020-11-28,-35.0,-4.0,-20.0,-39.0,-19.0,10.0
205461,France,2020-11-29,-31.0,4.0,-14.0,-47.0,-20.0,8.0
205462,France,2020-11-30,-26.0,-2.0,-13.0,-36.0,-26.0,11.0
205463,France,2020-12-01,-28.0,1.0,-19.0,-34.0,-26.0,11.0
205464,France,2020-12-02,-32.0,-2.0,-21.0,-36.0,-25.0,11.0
205465,France,2020-12-03,-34.0,-1.0,-25.0,-36.0,-25.0,11.0
205466,France,2020-12-04,-29.0,2.0,-32.0,-35.0,-25.0,13.0
205467,France,2020-12-05,-30.0,0.0,-38.0,-37.0,-19.0,10.0
205468,France,2020-12-06,-20.0,18.0,-29.0,-42.0,-17.0,8.0
205469,France,2020-12-07,-27.0,-3.0,-20.0,-35.0,-26.0,10.0
205470,France,2020-12-08,-27.0,0.0,-17.0,-33.0,-24.0,10.0
205471,France,2020-12-09,-33.0,-4.0,-21.0,-35.0,-25.0,11.0
205472,France,2020-12-10,-33.0,0.0,-21.0,-34.0,-24.0,10.0
205473,France,2020-12-11,-34.0,-3.0,-33.0,-35.0,-25.0,13.0
205474,France,2020-12-12,-33.0,-2.0,-35.0,-36.0,-18.0,10.0
205475,France,2020-12-13,-21.0,20.0,-22.0,-40.0,-15.0,7.0
205476,France,2020-12-14,-27.0,-1.0,-14.0,-32.0,-25.0,10.0
205477,France,2020-12-15,-25.0,3.0,-11.0,-28.0,-24.0,9.0
205478,France,2020-12-16,-29.0,3.0,-10.0,-28.0,-24.0,9.0
205479,France,2020-12-17,-29.0,7.0,-11.0,-27.0,-24.0,9.0
205480,France,2020-12-18,-30.0,2.0,-14.0,-26.0,-26.0,11.0
205481,France,2020-12-19,-33.0,-1.0,-22.0,-20.0,-17.0,7.0
205482,France,2020-12-20,-14.0,42.0,-9.0,-23.0,-11.0,4.0
205483,France,2020-12-21,-15.0,15.0,-7.0,-36.0,-46.0,13.0
205484,France,2020-12-22,-13.0,26.0,9.0,-31.0,-46.0,12.0
205485,France,2020-12-23,-18.0,35.0,-4.0,-31.0,-45.0,10.0
205486,France,2020-12-24,-25.0,29.0,-4.0,-42.0,-60.0,10.0
205487,France,2020-12-25,-85.0,-87.0,-20.0,-70.0,-87.0,23.0
205488,France,2020-12-26,-49.0,-18.0,-16.0,-33.0,-35.0,8.0
205489,France,2020-12-27,-48.0,-4.0,-30.0,-34.0,-24.0,5.0
205490,France,2020-12-28,-25.0,9.0,1.0,-43.0,-62.0,17.0
205491,France,2020-12-29,-24.0,16.0,15.0,-40.0,-60.0,17.0
205492,France,2020-12-30,-27.0,28.0,11.0,-38.0,-56.0,14.0
205493,France,2020-12-31,-31.0,36.0,9.0,-44.0,-63.0,15.0
205494,France,2021-01-01,-83.0,-87.0,-7.0,-69.0,-87.0,24.0
205495,France,2021-01-02,-47.0,-12.0,-27.0,-33.0,-32.0,10.0
205496,France,2021-01-03,-50.0,-13.0,-32.0,-29.0,-19.0,6.0
205497,France,2021-01-04,-37.0,-2.0,-24.0,-34.0,-27.0,11.0
205498,France,2021-01-05,-36.0,2.0,-19.0,-33.0,-26.0,11.0
205499,France,2021-01-06,-37.0,-1.0,-19.0,-34.0,-25.0,11.0
205500,France,2021-01-07,-39.0,-2.0,-20.0,-34.0,-24.0,11.0
205501,France,2021-01-08,-39.0,-4.0,-23.0,-33.0,-24.0,12.0
205502,France,2021-01-09,-39.0,-4.0,-28.0,-34.0,-17.0,9.0
205503,France,2021-01-10,-46.0,-8.0,-19.0,-38.0,-17.0,6.0
205504,France,2021-01-11,-35.0,-6.0,-14.0,-33.0,-24.0,10.0
205505,France,2021-01-12,-39.0,-7.0,-21.0,-33.0,-25.0,10.0
205506,France,2021-01-13,-41.0,-8.0,-22.0,-35.0,-25.0,9.0
205507,France,2021-01-14,-44.0,-10.0,-26.0,-35.0,-26.0,9.0
205508,France,2021-01-15,-44.0,-10.0,-28.0,-35.0,-28.0,11.0
205509,France,2021-01-16,-51.0,-20.0,-36.0,-42.0,-23.0,10.0
205510,France,2021-01-17,-50.0,-11.0,-21.0,-41.0,-21.0,6.0
205511,France,2021-01-18,-42.0,-16.0,-14.0,-36.0,-27.0,9.0
205512,France,2021-01-19,-43.0,-14.0,-14.0,-36.0,-27.0,10.0
417507,Italy,2020-02-15,3.0,-1.0,35.0,9.0,0.0,-1.0
417508,Italy,2020-02-16,3.0,2.0,26.0,11.0,1.0,-2.0
417509,Italy,2020-02-17,0.0,1.0,7.0,3.0,1.0,0.0
417510,Italy,2020-02-18,3.0,1.0,16.0,4.0,1.0,0.0
417511,Italy,2020-02-19,0.0,-1.0,11.0,3.0,1.0,0.0
417512,Italy,2020-02-20,2.0,1.0,18.0,5.0,1.0,0.0
417513,Italy,2020-02-21,1.0,1.0,19.0,5.0,0.0,-1.0
417514,Italy,2020-02-22,-1.0,3.0,30.0,8.0,0.0,-1.0
417515,Italy,2020-02-23,-5.0,16.0,23.0,6.0,1.0,0.0
417516,Italy,2020-02-24,-4.0,23.0,22.0,-15.0,-14.0,4.0
417517,Italy,2020-02-25,-6.0,5.0,20.0,-18.0,-15.0,5.0
417518,Italy,2020-02-26,-13.0,-5.0,-6.0,-23.0,-12.0,6.0
417519,Italy,2020-02-27,-10.0,-3.0,-1.0,-22.0,-12.0,6.0
417520,Italy,2020-02-28,-8.0,-2.0,11.0,-20.0,-12.0,5.0
417521,Italy,2020-02-29,-10.0,-2.0,2.0,-16.0,-9.0,3.0
417522,Italy,2020-03-01,-19.0,-5.0,-30.0,-26.0,-5.0,4.0
417523,Italy,2020-03-02,-13.0,-7.0,-26.0,-25.0,-9.0,5.0
417524,Italy,2020-03-03,-7.0,-1.0,-9.0,-21.0,-8.0,4.0
417525,Italy,2020-03-04,-7.0,1.0,8.0,-19.0,-8.0,4.0
417526,Italy,2020-03-05,-12.0,0.0,-12.0,-28.0,-16.0,7.0
417527,Italy,2020-03-06,-15.0,0.0,-8.0,-29.0,-17.0,8.0
417528,Italy,2020-03-07,-19.0,1.0,2.0,-24.0,-15.0,6.0
417529,Italy,2020-03-08,-32.0,3.0,1.0,-27.0,-10.0,6.0
417530,Italy,2020-03-09,-30.0,-1.0,-24.0,-42.0,-24.0,11.0
417531,Italy,2020-03-10,-43.0,-2.0,-32.0,-51.0,-31.0,16.0
417532,Italy,2020-03-11,-52.0,-14.0,-32.0,-57.0,-37.0,19.0
417533,Italy,2020-03-12,-70.0,-23.0,-61.0,-67.0,-47.0,24.0
417534,Italy,2020-03-13,-75.0,-28.0,-64.0,-71.0,-53.0,28.0
417535,Italy,2020-03-14,-83.0,-43.0,-78.0,-76.0,-58.0,25.0
417536,Italy,2020-03-15,-90.0,-60.0,-81.0,-80.0,-55.0,22.0
417537,Italy,2020-03-16,-75.0,-37.0,-67.0,-74.0,-58.0,27.0
417538,Italy,2020-03-17,-77.0,-41.0,-68.0,-76.0,-61.0,29.0
417539,Italy,2020-03-18,-79.0,-43.0,-71.0,-77.0,-61.0,30.0
417540,Italy,2020-03-19,-79.0,-44.0,-74.0,-78.0,-63.0,31.0
417541,Italy,2020-03-20,-80.0,-40.0,-77.0,-78.0,-63.0,32.0
417542,Italy,2020-03-21,-86.0,-51.0,-85.0,-80.0,-63.0,26.0
417543,Italy,2020-03-22,-95.0,-85.0,-91.0,-87.0,-63.0,24.0
417544,Italy,2020-03-23,-80.0,-45.0,-81.0,-81.0,-68.0,32.0
417545,Italy,2020-03-24,-81.0,-48.0,-80.0,-81.0,-69.0,32.0
417546,Italy,2020-03-25,-83.0,-51.0,-82.0,-82.0,-70.0,34.0
417547,Italy,2020-03-26,-84.0,-52.0,-84.0,-83.0,-72.0,35.0
417548,Italy,2020-03-27,-83.0,-46.0,-82.0,-82.0,-71.0,36.0
417549,Italy,2020-03-28,-87.0,-54.0,-86.0,-82.0,-65.0,27.0
417550,Italy,2020-03-29,-94.0,-85.0,-90.0,-87.0,-63.0,24.0
417551,Italy,2020-03-30,-81.0,-47.0,-79.0,-81.0,-69.0,32.0
417552,Italy,2020-03-31,-90.0,-42.0,-78.0,-79.0,-70.0,33.0
417553,Italy,2020-04-01,-90.0,-41.0,-77.0,-79.0,-70.0,33.0
417554,Italy,2020-04-02,-90.0,-40.0,-77.0,-79.0,-70.0,34.0
417555,Italy,2020-04-03,-85.0,-37.0,-78.0,-79.0,-69.0,35.0
417556,Italy,2020-04-04,-89.0,-48.0,-84.0,-80.0,-63.0,27.0
417557,Italy,2020-04-05,-95.0,-82.0,-90.0,-86.0,-62.0,24.0
417558,Italy,2020-04-06,-83.0,-39.0,-76.0,-78.0,-66.0,31.0
417559,Italy,2020-04-07,-81.0,-38.0,-75.0,-78.0,-67.0,31.0
417560,Italy,2020-04-08,-82.0,-37.0,-76.0,-78.0,-67.0,31.0
417561,Italy,2020-04-09,-81.0,-32.0,-76.0,-78.0,-67.0,32.0
417562,Italy,2020-04-10,-81.0,-27.0,-76.0,-77.0,-68.0,33.0
417563,Italy,2020-04-11,-86.0,-42.0,-83.0,-78.0,-62.0,26.0
417564,Italy,2020-04-12,-96.0,-94.0,-91.0,-88.0,-66.0,25.0
417565,Italy,2020-04-13,-96.0,-93.0,-86.0,-91.0,-90.0,40.0
417566,Italy,2020-04-14,-81.0,-41.0,-76.0,-77.0,-65.0,30.0
417567,Italy,2020-04-15,-80.0,-38.0,-75.0,-76.0,-64.0,30.0
417568,Italy,2020-04-16,-79.0,-37.0,-75.0,-76.0,-63.0,31.0
417569,Italy,2020-04-17,-79.0,-34.0,-75.0,-76.0,-63.0,32.0
417570,Italy,2020-04-18,-85.0,-48.0,-82.0,-77.0,-58.0,25.0
417571,Italy,2020-04-19,-94.0,-82.0,-88.0,-84.0,-58.0,23.0
417572,Italy,2020-04-20,-79.0,-48.0,-79.0,-79.0,-61.0,29.0
417573,Italy,2020-04-21,-79.0,-45.0,-76.0,-77.0,-61.0,29.0
417574,Italy,2020-04-22,-79.0,-45.0,-75.0,-76.0,-61.0,30.0
417575,Italy,2020-04-23,-78.0,-40.0,-73.0,-75.0,-60.0,30.0
417576,Italy,2020-04-24,-75.0,-27.0,-71.0,-73.0,-60.0,29.0
417577,Italy,2020-04-25,-93.0,-86.0,-83.0,-83.0,-72.0,28.0
417578,Italy,2020-04-26,-92.0,-74.0,-85.0,-81.0,-54.0,22.0
417579,Italy,2020-04-27,-72.0,-34.0,-68.0,-72.0,-57.0,26.0
417580,Italy,2020-04-28,-75.0,-39.0,-71.0,-74.0,-58.0,26.0
417581,Italy,2020-04-29,-75.0,-36.0,-68.0,-72.0,-57.0,27.0
417582,Italy,2020-04-30,-71.0,-23.0,-67.0,-71.0,-57.0,26.0
417583,Italy,2020-05-01,-92.0,-90.0,-74.0,-86.0,-86.0,41.0
417584,Italy,2020-05-02,-78.0,-37.0,-71.0,-70.0,-52.0,23.0
417585,Italy,2020-05-03,-89.0,-71.0,-75.0,-76.0,-46.0,21.0
417586,Italy,2020-05-04,-58.0,-25.0,-30.0,-57.0,-45.0,18.0
417587,Italy,2020-05-05,-60.0,-27.0,-31.0,-58.0,-46.0,19.0
417588,Italy,2020-05-06,-61.0,-28.0,-32.0,-58.0,-46.0,20.0
417589,Italy,2020-05-07,-60.0,-27.0,-28.0,-58.0,-45.0,20.0
417590,Italy,2020-05-08,-60.0,-23.0,-29.0,-58.0,-45.0,21.0
417591,Italy,2020-05-09,-63.0,-28.0,-31.0,-52.0,-39.0,15.0
417592,Italy,2020-05-10,-74.0,-61.0,-43.0,-57.0,-28.0,13.0
417593,Italy,2020-05-11,-58.0,-31.0,-45.0,-61.0,-43.0,19.0
417594,Italy,2020-05-12,-56.0,-24.0,-27.0,-56.0,-42.0,19.0
417595,Italy,2020-05-13,-59.0,-27.0,-39.0,-59.0,-42.0,19.0
417596,Italy,2020-05-14,-56.0,-24.0,-28.0,-56.0,-42.0,18.0
417597,Italy,2020-05-15,-58.0,-22.0,-34.0,-58.0,-42.0,20.0
417598,Italy,2020-05-16,-61.0,-26.0,-37.0,-53.0,-34.0,15.0
417599,Italy,2020-05-17,-68.0,-56.0,-24.0,-52.0,-21.0,12.0
417600,Italy,2020-05-18,-38.0,-19.0,-11.0,-48.0,-36.0,14.0
417601,Italy,2020-05-19,-40.0,-18.0,-22.0,-50.0,-37.0,15.0
417602,Italy,2020-05-20,-40.0,-18.0,-13.0,-48.0,-37.0,15.0
417603,Italy,2020-05-21,-37.0,-15.0,0.0,-46.0,-37.0,15.0
417604,Italy,2020-05-22,-38.0,-13.0,4.0,-46.0,-36.0,14.0
417605,Italy,2020-05-23,-38.0,-17.0,11.0,-35.0,-24.0,8.0
417606,Italy,2020-05-24,-43.0,-38.0,13.0,-35.0,-9.0,5.0
417607,Italy,2020-05-25,-32.0,-17.0,4.0,-45.0,-34.0,12.0
417608,Italy,2020-05-26,-32.0,-14.0,6.0,-44.0,-34.0,12.0
417609,Italy,2020-05-27,-32.0,-13.0,8.0,-43.0,-33.0,12.0
417610,Italy,2020-05-28,-32.0,-12.0,5.0,-43.0,-33.0,13.0
417611,Italy,2020-05-29,-35.0,-11.0,-6.0,-45.0,-34.0,13.0
417612,Italy,2020-05-30,-34.0,-13.0,7.0,-32.0,-20.0,7.0
417613,Italy,2020-05-31,-37.0,-31.0,15.0,-32.0,-2.0,5.0
417614,Italy,2020-06-01,-15.0,4.0,53.0,-37.0,-44.0,11.0
417615,Italy,2020-06-02,-32.0,-44.0,119.0,-46.0,-72.0,16.0
417616,Italy,2020-06-03,-29.0,-7.0,6.0,-37.0,-31.0,10.0
417617,Italy,2020-06-04,-33.0,-11.0,-24.0,-44.0,-33.0,12.0
417618,Italy,2020-06-05,-28.0,-10.0,1.0,-40.0,-32.0,11.0
417619,Italy,2020-06-06,-25.0,-12.0,31.0,-25.0,-17.0,4.0
417620,Italy,2020-06-07,-34.0,-28.0,-4.0,-36.0,-3.0,4.0
417621,Italy,2020-06-08,-25.0,-14.0,-7.0,-42.0,-31.0,10.0
417622,Italy,2020-06-09,-21.0,-11.0,9.0,-38.0,-30.0,9.0
417623,Italy,2020-06-10,-23.0,-11.0,2.0,-39.0,-30.0,10.0
417624,Italy,2020-06-11,-21.0,-8.0,3.0,-39.0,-30.0,9.0
417625,Italy,2020-06-12,-19.0,-8.0,35.0,-34.0,-30.0,7.0
417626,Italy,2020-06-13,-24.0,-14.0,29.0,-26.0,-15.0,2.0
417627,Italy,2020-06-14,-23.0,-21.0,30.0,-23.0,4.0,0.0
417628,Italy,2020-06-15,-18.0,-11.0,19.0,-36.0,-28.0,7.0
417629,Italy,2020-06-16,-16.0,-8.0,27.0,-34.0,-28.0,8.0
417630,Italy,2020-06-17,-17.0,-9.0,24.0,-34.0,-28.0,8.0
417631,Italy,2020-06-18,-15.0,-9.0,36.0,-33.0,-28.0,7.0
417632,Italy,2020-06-19,-16.0,-8.0,41.0,-31.0,-28.0,6.0
417633,Italy,2020-06-20,-17.0,-12.0,64.0,-16.0,-12.0,-1.0
417634,Italy,2020-06-21,-22.0,-21.0,47.0,-16.0,6.0,-3.0
417635,Italy,2020-06-22,-13.0,-9.0,46.0,-31.0,-29.0,5.0
417636,Italy,2020-06-23,-11.0,-7.0,59.0,-29.0,-28.0,5.0
417637,Italy,2020-06-24,-12.0,-8.0,60.0,-30.0,-28.0,5.0
417638,Italy,2020-06-25,-13.0,-6.0,51.0,-29.0,-27.0,5.0
417639,Italy,2020-06-26,-14.0,-6.0,60.0,-27.0,-28.0,4.0
417640,Italy,2020-06-27,-18.0,-12.0,71.0,-15.0,-14.0,-2.0
417641,Italy,2020-06-28,-22.0,-21.0,53.0,-14.0,8.0,-5.0
417642,Italy,2020-06-29,-10.0,-8.0,62.0,-31.0,-29.0,4.0
417643,Italy,2020-06-30,-8.0,-6.0,60.0,-29.0,-26.0,4.0
417644,Italy,2020-07-01,-9.0,-5.0,55.0,-28.0,-26.0,4.0
417645,Italy,2020-07-02,-10.0,-6.0,55.0,-28.0,-26.0,4.0
417646,Italy,2020-07-03,-14.0,-7.0,47.0,-29.0,-27.0,4.0
417647,Italy,2020-07-04,-15.0,-11.0,65.0,-15.0,-14.0,-2.0
417648,Italy,2020-07-05,-18.0,-17.0,56.0,-12.0,7.0,-6.0
417649,Italy,2020-07-06,-8.0,-6.0,70.0,-27.0,-27.0,3.0
417650,Italy,2020-07-07,-5.0,-3.0,77.0,-26.0,-27.0,3.0
417651,Italy,2020-07-08,-8.0,-7.0,78.0,-26.0,-25.0,3.0
417652,Italy,2020-07-09,-8.0,-6.0,74.0,-26.0,-26.0,3.0
417653,Italy,2020-07-10,-10.0,-6.0,77.0,-25.0,-27.0,2.0
417654,Italy,2020-07-11,-16.0,-13.0,69.0,-15.0,-13.0,-2.0
417655,Italy,2020-07-12,-16.0,-16.0,63.0,-9.0,9.0,-6.0
417656,Italy,2020-07-13,-6.0,-5.0,79.0,-25.0,-26.0,2.0
417657,Italy,2020-07-14,-4.0,-4.0,87.0,-25.0,-26.0,2.0
417658,Italy,2020-07-15,-6.0,-6.0,75.0,-27.0,-25.0,3.0
417659,Italy,2020-07-16,-5.0,-5.0,79.0,-25.0,-25.0,2.0
417660,Italy,2020-07-17,-9.0,-5.0,73.0,-25.0,-26.0,3.0
417661,Italy,2020-07-18,-12.0,-10.0,84.0,-10.0,-12.0,-3.0
417662,Italy,2020-07-19,-14.0,-15.0,70.0,-6.0,11.0,-7.0
417663,Italy,2020-07-20,-5.0,-5.0,95.0,-25.0,-26.0,2.0
417664,Italy,2020-07-21,-3.0,-5.0,101.0,-25.0,-26.0,2.0
417665,Italy,2020-07-22,-6.0,-6.0,92.0,-26.0,-24.0,2.0
417666,Italy,2020-07-23,-5.0,-5.0,92.0,-25.0,-25.0,2.0
417667,Italy,2020-07-24,-10.0,-5.0,75.0,-26.0,-27.0,3.0
417668,Italy,2020-07-25,-12.0,-12.0,96.0,-8.0,-12.0,-4.0
417669,Italy,2020-07-26,-13.0,-14.0,74.0,-5.0,12.0,-7.0
417670,Italy,2020-07-27,-2.0,-3.0,104.0,-23.0,-27.0,1.0
417671,Italy,2020-07-28,-2.0,-3.0,106.0,-24.0,-26.0,2.0
417672,Italy,2020-07-29,-4.0,-5.0,105.0,-24.0,-26.0,2.0
417673,Italy,2020-07-30,-4.0,-6.0,93.0,-25.0,-27.0,2.0
417674,Italy,2020-07-31,-7.0,-7.0,91.0,-23.0,-28.0,1.0
417675,Italy,2020-08-01,-14.0,-13.0,83.0,-10.0,-15.0,-4.0
417676,Italy,2020-08-02,-13.0,-11.0,61.0,-9.0,9.0,-6.0
417677,Italy,2020-08-03,-2.0,-2.0,90.0,-26.0,-32.0,3.0
417678,Italy,2020-08-04,4.0,2.0,109.0,-24.0,-32.0,3.0
417679,Italy,2020-08-05,2.0,-1.0,116.0,-24.0,-31.0,3.0
417680,Italy,2020-08-06,2.0,-2.0,117.0,-23.0,-32.0,2.0
417681,Italy,2020-08-07,-4.0,-4.0,113.0,-22.0,-33.0,2.0
417682,Italy,2020-08-08,-13.0,-13.0,104.0,-5.0,-17.0,-4.0
417683,Italy,2020-08-09,-12.0,-13.0,91.0,-1.0,9.0,-7.0
417684,Italy,2020-08-10,5.0,1.0,180.0,-22.0,-47.0,3.0
417685,Italy,2020-08-11,5.0,1.0,191.0,-24.0,-47.0,3.0
