,age_group,canton,pop_size,sex
1391,70 - 79,FL,118,Weiblich
1392,70 - 79,FL,166,Weiblich
1393,80+,FL,18,Weiblich
1394,80+,FL,1,Weiblich
1395,80+,FL,88,Weiblich
1396,80+,FL,7,Weiblich
1397,80+,FL,32,Weiblich
1398,80+,FL,7,Weiblich
1399,80+,FL,24,Weiblich
1400,80+,FL,33,Weiblich
1401,80+,FL,63,Weiblich
1402,80+,FL,87,Weiblich
1403,80+,FL,46,Weiblich
1404,80+,FL,37,Weiblich
1405,80+,FL,13,Weiblich
1406,80+,FL,4,Weiblich
1407,80+,FL,46,Weiblich
1408,80+,FL,93,Weiblich
1409,80+,FL,0,Weiblich
1410,80+,FL,87,Weiblich
1411,80+,FL,30,Weiblich
1412,80+,FL,118,Weiblich
1413,80+,FL,76,Weiblich
1414,0 - 9,FR,1760,Männlich
1415,0 - 9,FR,1813,Männlich
1416,0 - 9,FR,1854,Männlich
1417,0 - 9,FR,1841,Männlich
1418,0 - 9,FR,1849,Männlich
1419,0 - 9,FR,1836,Männlich
1420,0 - 9,FR,1803,Männlich
1421,0 - 9,FR,1854,Männlich
1422,0 - 9,FR,1875,Männlich
1423,0 - 9,FR,1780,Männlich
1424,10 - 19,FR,1803,Männlich
1425,10 - 19,FR,1828,Männlich
1426,10 - 19,FR,1801,Männlich
1427,10 - 19,FR,1795,Männlich
1428,10 - 19,FR,1779,Männlich
1429,10 - 19,FR,1861,Männlich
1430,10 - 19,FR,1974,Männlich
1431,10 - 19,FR,1777,Männlich
1432,10 - 19,FR,1784,Männlich
1433,10 - 19,FR,1947,Männlich
1434,20 - 29,FR,2154,Männlich
1435,20 - 29,FR,2119,Männlich
1436,20 - 29,FR,2191,Männlich
1437,20 - 29,FR,2123,Männlich
1438,20 - 29,FR,2287,Männlich
1439,20 - 29,FR,2221,Männlich
1440,20 - 29,FR,2050,Männlich
1441,20 - 29,FR,2275,Männlich
1442,20 - 29,FR,2323,Männlich
1443,20 - 29,FR,2046,Männlich
1444,30 - 39,FR,2193,Männlich
1445,30 - 39,FR,2210,Männlich
1446,30 - 39,FR,2223,Männlich
1447,30 - 39,FR,2241,Männlich
1448,30 - 39,FR,2203,Männlich
1449,30 - 39,FR,2288,Männlich
1450,30 - 39,FR,2156,Männlich
1451,30 - 39,FR,2283,Männlich
1452,30 - 39,FR,2208,Männlich
1453,30 - 39,FR,2237,Männlich
1454,40 - 49,FR,2193,Männlich
1455,40 - 49,FR,2361,Männlich
1456,40 - 49,FR,2300,Männlich
1457,40 - 49,FR,2149,Männlich
1458,40 - 49,FR,2279,Männlich
1459,40 - 49,FR,2181,Männlich
1460,40 - 49,FR,2412,Männlich
1461,40 - 49,FR,2454,Männlich
1462,40 - 49,FR,2462,Männlich
1463,40 - 49,FR,2165,Männlich
1464,50 - 59,FR,2263,Männlich
1465,50 - 59,FR,2463,Männlich
1466,50 - 59,FR,2576,Männlich
1467,50 - 59,FR,2519,Männlich
1468,50 - 59,FR,2201,Männlich
1469,50 - 59,FR,2561,Männlich
1470,50 - 59,FR,2471,Männlich
1471,50 - 59,FR,2568,Männlich
1472,50 - 59,FR,1991,Männlich
1473,50 - 59,FR,2322,Männlich
1474,60 - 69,FR,1766,Männlich
1475,60 - 69,FR,1472,Männlich
1476,60 - 69,FR,1476,Männlich
1477,60 - 69,FR,1969,Männlich
1478,60 - 69,FR,1573,Männlich
1479,60 - 69,FR,1468,Männlich
1480,60 - 69,FR,1481,Männlich
1481,60 - 69,FR,1353,Männlich
1482,60 - 69,FR,1697,Männlich
1483,60 - 69,FR,1995,Männlich
1484,70 - 79,FR,892,Männlich
1485,70 - 79,FR,1354,Männlich
1486,70 - 79,FR,1143,Männlich
1487,70 - 79,FR,1229,Männlich
1488,70 - 79,FR,1095,Männlich
1489,70 - 79,FR,1316,Männlich
1490,70 - 79,FR,772,Männlich
1491,70 - 79,FR,1398,Männlich
1492,70 - 79,FR,691,Männlich
1493,70 - 79,FR,1038,Männlich
1494,80+,FR,3,Männlich
1495,80+,FR,26,Männlich
1496,80+,FR,231,Männlich
1497,80+,FR,398,Männlich
1498,80+,FR,73,Männlich
1499,80+,FR,446,Männlich
1500,80+,FR,616,Männlich
1501,80+,FR,568,Männlich
1502,80+,FR,9,Männlich
1503,80+,FR,23,Männlich
1504,80+,FR,128,Männlich
1505,80+,FR,38,Männlich
1506,80+,FR,304,Männlich
1507,80+,FR,167,Männlich
1508,80+,FR,98,Männlich
1509,80+,FR,179,Männlich
1510,80+,FR,375,Männlich
1511,80+,FR,60,Männlich
1512,80+,FR,643,Männlich
1513,80+,FR,8,Männlich
1514,80+,FR,472,Männlich
1515,0 - 9,FR,1690,Weiblich
1516,0 - 9,FR,1721,Weiblich
1517,0 - 9,FR,1778,Weiblich
1518,0 - 9,FR,1777,Weiblich
1519,0 - 9,FR,1645,Weiblich
1520,0 - 9,FR,1798,Weiblich
1521,0 - 9,FR,1736,Weiblich
1522,0 - 9,FR,1581,Weiblich
1523,0 - 9,FR,1729,Weiblich
1524,0 - 9,FR,1690,Weiblich
1525,10 - 19,FR,1736,Weiblich
1526,10 - 19,FR,1699,Weiblich
1527,10 - 19,FR,1699,Weiblich
1528,10 - 19,FR,1724,Weiblich
1529,10 - 19,FR,1773,Weiblich
1530,10 - 19,FR,1667,Weiblich
1531,10 - 19,FR,1843,Weiblich
1532,10 - 19,FR,1821,Weiblich
1533,10 - 19,FR,1750,Weiblich
1534,10 - 19,FR,1735,Weiblich
1535,20 - 29,FR,2184,Weiblich
1536,20 - 29,FR,1984,Weiblich
1537,20 - 29,FR,1984,Weiblich
1538,20 - 29,FR,1949,Weiblich
1539,20 - 29,FR,2121,Weiblich
1540,20 - 29,FR,2224,Weiblich
1541,20 - 29,FR,2202,Weiblich
1542,20 - 29,FR,2088,Weiblich
1543,20 - 29,FR,2193,Weiblich
1544,20 - 29,FR,1954,Weiblich
1545,30 - 39,FR,2183,Weiblich
1546,30 - 39,FR,2172,Weiblich
1547,30 - 39,FR,2180,Weiblich
1548,30 - 39,FR,2196,Weiblich
1549,30 - 39,FR,2223,Weiblich
1550,30 - 39,FR,2158,Weiblich
1551,30 - 39,FR,2120,Weiblich
1552,30 - 39,FR,2233,Weiblich
1553,30 - 39,FR,2260,Weiblich
1554,30 - 39,FR,2162,Weiblich
1555,40 - 49,FR,2162,Weiblich
1556,40 - 49,FR,2339,Weiblich
1557,40 - 49,FR,2361,Weiblich
1558,40 - 49,FR,2334,Weiblich
1559,40 - 49,FR,2490,Weiblich
1560,40 - 49,FR,2064,Weiblich
1561,40 - 49,FR,2120,Weiblich
1562,40 - 49,FR,2416,Weiblich
1563,40 - 49,FR,2182,Weiblich
1564,40 - 49,FR,2241,Weiblich
1565,50 - 59,FR,2372,Weiblich
1566,50 - 59,FR,2490,Weiblich
1567,50 - 59,FR,2253,Weiblich
1568,50 - 59,FR,1965,Weiblich
1569,50 - 59,FR,2036,Weiblich
1570,50 - 59,FR,2203,Weiblich
1571,50 - 59,FR,2493,Weiblich
1572,50 - 59,FR,2518,Weiblich
1573,50 - 59,FR,2498,Weiblich
1574,50 - 59,FR,2470,Weiblich
1575,60 - 69,FR,1759,Weiblich
1576,60 - 69,FR,1745,Weiblich
1577,60 - 69,FR,1461,Weiblich
1578,60 - 69,FR,1472,Weiblich
1579,60 - 69,FR,1914,Weiblich
1580,60 - 69,FR,1647,Weiblich
1581,60 - 69,FR,1587,Weiblich
1582,60 - 69,FR,1406,Weiblich
1583,60 - 69,FR,1618,Weiblich
1584,60 - 69,FR,1469,Weiblich
1585,70 - 79,FR,1199,Weiblich
1586,70 - 79,FR,1480,Weiblich
1587,70 - 79,FR,1415,Weiblich
1588,70 - 79,FR,897,Weiblich
1589,70 - 79,FR,861,Weiblich
1590,70 - 79,FR,1046,Weiblich
1591,70 - 79,FR,1263,Weiblich
1592,70 - 79,FR,1080,Weiblich
1593,70 - 79,FR,1336,Weiblich
1594,70 - 79,FR,1464,Weiblich
1595,80+,FR,166,Weiblich
1596,80+,FR,312,Weiblich
1597,80+,FR,84,Weiblich
1598,80+,FR,159,Weiblich
1599,80+,FR,62,Weiblich
1600,80+,FR,720,Weiblich
1601,80+,FR,28,Weiblich
1602,80+,FR,721,Weiblich
1603,80+,FR,30,Weiblich
1604,80+,FR,298,Weiblich
1605,80+,FR,118,Weiblich
1606,80+,FR,431,Weiblich
1607,80+,FR,601,Weiblich
1608,80+,FR,248,Weiblich
1609,80+,FR,399,Weiblich
1610,80+,FR,821,Weiblich
1611,80+,FR,566,Weiblich
1612,80+,FR,720,Weiblich
1613,80+,FR,657,Weiblich
1614,80+,FR,36,Weiblich
1615,80+,FR,470,Weiblich
1616,0 - 9,GE,2760,Männlich
1617,0 - 9,GE,2502,Männlich
1618,0 - 9,GE,2654,Männlich
1619,0 - 9,GE,2703,Männlich
1620,0 - 9,GE,2698,Männlich
1621,0 - 9,GE,2747,Männlich
1622,0 - 9,GE,2642,Männlich
1623,0 - 9,GE,2782,Männlich
1624,0 - 9,GE,2749,Männlich
1625,0 - 9,GE,2706,Männlich
1626,10 - 19,GE,2640,Männlich
1627,10 - 19,GE,2615,Männlich
1628,10 - 19,GE,2754,Männlich
1629,10 - 19,GE,2807,Männlich
1630,10 - 19,GE,2937,Männlich
1631,10 - 19,GE,2440,Männlich
1632,10 - 19,GE,2616,Männlich
1633,10 - 19,GE,2739,Männlich
1634,10 - 19,GE,2649,Männlich
1635,10 - 19,GE,2713,Männlich
1636,20 - 29,GE,3307,Männlich
1637,20 - 29,GE,3615,Männlich
1638,20 - 29,GE,3445,Männlich
1639,20 - 29,GE,2966,Männlich
1640,20 - 29,GE,2813,Männlich
1641,20 - 29,GE,3620,Männlich
1642,20 - 29,GE,3547,Männlich
1643,20 - 29,GE,3094,Männlich
1644,20 - 29,GE,2895,Männlich
1645,20 - 29,GE,3127,Männlich
1646,30 - 39,GE,3754,Männlich
1647,30 - 39,GE,3800,Männlich
1648,30 - 39,GE,3674,Männlich
1649,30 - 39,GE,3540,Männlich
1650,30 - 39,GE,3823,Männlich
1651,30 - 39,GE,3735,Männlich
1652,30 - 39,GE,3701,Männlich
1653,30 - 39,GE,3575,Männlich
1654,30 - 39,GE,3771,Männlich
1655,30 - 39,GE,3623,Männlich
1656,40 - 49,GE,3726,Männlich
1657,40 - 49,GE,3646,Männlich
1658,40 - 49,GE,3792,Männlich
1659,40 - 49,GE,3611,Männlich
1660,40 - 49,GE,3540,Männlich
1661,40 - 49,GE,3704,Männlich
1662,40 - 49,GE,3724,Männlich
1663,40 - 49,GE,3559,Männlich
1664,40 - 49,GE,3679,Männlich
1665,40 - 49,GE,3806,Männlich
1666,50 - 59,GE,3581,Männlich
1667,50 - 59,GE,3801,Männlich
1668,50 - 59,GE,3317,Männlich
1669,50 - 59,GE,3703,Männlich
1670,50 - 59,GE,3078,Männlich
1671,50 - 59,GE,3128,Männlich
1672,50 - 59,GE,3540,Männlich
1673,50 - 59,GE,3770,Männlich
1674,50 - 59,GE,3751,Männlich
1675,50 - 59,GE,3244,Männlich
1676,60 - 69,GE,1838,Männlich
1677,60 - 69,GE,1891,Männlich
1678,60 - 69,GE,2400,Männlich
1679,60 - 69,GE,2803,Männlich
1680,60 - 69,GE,1786,Männlich
1681,60 - 69,GE,2678,Männlich
1682,60 - 69,GE,2490,Männlich
1683,60 - 69,GE,1979,Männlich
1684,60 - 69,GE,2151,Männlich
1685,60 - 69,GE,1790,Männlich
1686,70 - 79,GE,1535,Männlich
1687,70 - 79,GE,1729,Männlich
1688,70 - 79,GE,1750,Männlich
1689,70 - 79,GE,1200,Männlich
1690,70 - 79,GE,1823,Männlich
1691,70 - 79,GE,1806,Männlich
1692,70 - 79,GE,1257,Männlich
1693,70 - 79,GE,1636,Männlich
1694,70 - 79,GE,1306,Männlich
1695,70 - 79,GE,1709,Männlich
1696,80+,GE,20,Männlich
1697,80+,GE,43,Männlich
1698,80+,GE,1147,Männlich
1699,80+,GE,107,Männlich
1700,80+,GE,90,Männlich
1701,80+,GE,218,Männlich
1702,80+,GE,683,Männlich
1703,80+,GE,964,Männlich
1704,80+,GE,1030,Männlich
1705,80+,GE,434,Männlich
1706,80+,GE,818,Männlich
1707,80+,GE,34,Männlich
1708,80+,GE,991,Männlich
1709,80+,GE,268,Männlich
1710,80+,GE,737,Männlich
1711,80+,GE,554,Männlich
1712,80+,GE,173,Männlich
1713,80+,GE,12,Männlich
1714,80+,GE,565,Männlich
1715,80+,GE,362,Männlich
1716,80+,GE,63,Männlich
1717,0 - 9,GE,2590,Weiblich
1718,0 - 9,GE,2537,Weiblich
1719,0 - 9,GE,2523,Weiblich
1720,0 - 9,GE,2520,Weiblich
1721,0 - 9,GE,2565,Weiblich
1722,0 - 9,GE,2500,Weiblich
1723,0 - 9,GE,2671,Weiblich
1724,0 - 9,GE,2730,Weiblich
1725,0 - 9,GE,2456,Weiblich
1726,0 - 9,GE,2621,Weiblich
1727,10 - 19,GE,2504,Weiblich
1728,10 - 19,GE,2781,Weiblich
1729,10 - 19,GE,2532,Weiblich
1730,10 - 19,GE,2576,Weiblich
1731,10 - 19,GE,2528,Weiblich
1732,10 - 19,GE,2748,Weiblich
1733,10 - 19,GE,2468,Weiblich
1734,10 - 19,GE,2574,Weiblich
1735,10 - 19,GE,2567,Weiblich
1736,10 - 19,GE,2667,Weiblich
1737,20 - 29,GE,3583,Weiblich
1738,20 - 29,GE,2695,Weiblich
1739,20 - 29,GE,3539,Weiblich
1740,20 - 29,GE,3691,Weiblich
1741,20 - 29,GE,3047,Weiblich
1742,20 - 29,GE,3338,Weiblich
1743,20 - 29,GE,2994,Weiblich
1744,20 - 29,GE,3655,Weiblich
1745,20 - 29,GE,3199,Weiblich
1746,20 - 29,GE,2832,Weiblich
1747,30 - 39,GE,3951,Weiblich
1748,30 - 39,GE,3758,Weiblich
1749,30 - 39,GE,3800,Weiblich
1750,30 - 39,GE,3772,Weiblich
1751,30 - 39,GE,3747,Weiblich
1752,30 - 39,GE,3894,Weiblich
1753,30 - 39,GE,3896,Weiblich
1754,30 - 39,GE,3902,Weiblich
1755,30 - 39,GE,3934,Weiblich
1756,30 - 39,GE,3748,Weiblich
1757,40 - 49,GE,3873,Weiblich
1758,40 - 49,GE,3826,Weiblich
1759,40 - 49,GE,3846,Weiblich
1760,40 - 49,GE,3929,Weiblich
1761,40 - 49,GE,3720,Weiblich
1762,40 - 49,GE,3874,Weiblich
1763,40 - 49,GE,3848,Weiblich
1764,40 - 49,GE,3728,Weiblich
1765,40 - 49,GE,3884,Weiblich
1766,40 - 49,GE,3919,Weiblich
1767,50 - 59,GE,3145,Weiblich
1768,50 - 59,GE,3806,Weiblich
1769,50 - 59,GE,3544,Weiblich
1770,50 - 59,GE,3867,Weiblich
1771,50 - 59,GE,3116,Weiblich
1772,50 - 59,GE,3613,Weiblich
1773,50 - 59,GE,3837,Weiblich
1774,50 - 59,GE,3325,Weiblich
1775,50 - 59,GE,3742,Weiblich
1776,50 - 59,GE,3986,Weiblich
1777,60 - 69,GE,2794,Weiblich
1778,60 - 69,GE,2450,Weiblich
1779,60 - 69,GE,2147,Weiblich
1780,60 - 69,GE,2231,Weiblich
1781,60 - 69,GE,2297,Weiblich
1782,60 - 69,GE,2340,Weiblich
1783,60 - 69,GE,2598,Weiblich
1784,60 - 69,GE,2092,Weiblich
1785,60 - 69,GE,2687,Weiblich
1786,60 - 69,GE,2433,Weiblich
1787,70 - 79,GE,1668,Weiblich
1788,70 - 79,GE,2297,Weiblich
1789,70 - 79,GE,2140,Weiblich
1790,70 - 79,GE,1617,Weiblich
1791,70 - 79,GE,2081,Weiblich
1792,70 - 79,GE,2092,Weiblich
1793,70 - 79,GE,2227,Weiblich
1794,70 - 79,GE,2375,Weiblich
1795,70 - 79,GE,2258,Weiblich
1796,70 - 79,GE,1878,Weiblich
1797,80+,GE,1578,Weiblich
1798,80+,GE,177,Weiblich
1799,80+,GE,124,Weiblich
1800,80+,GE,1322,Weiblich
1801,80+,GE,372,Weiblich
1802,80+,GE,302,Weiblich
1803,80+,GE,1126,Weiblich
1804,80+,GE,509,Weiblich
1805,80+,GE,812,Weiblich
1806,80+,GE,233,Weiblich
1807,80+,GE,67,Weiblich
1808,80+,GE,694,Weiblich
1809,80+,GE,1012,Weiblich
1810,80+,GE,455,Weiblich
1811,80+,GE,1224,Weiblich
1812,80+,GE,1324,Weiblich
1813,80+,GE,638,Weiblich
1814,80+,GE,1010,Weiblich
1815,80+,GE,105,Weiblich
1816,80+,GE,1266,Weiblich
1817,80+,GE,1519,Weiblich
1818,0 - 9,GL,184,Männlich
1819,0 - 9,GL,211,Männlich
1820,0 - 9,GL,173,Männlich
1821,0 - 9,GL,197,Männlich
1822,0 - 9,GL,203,Männlich
1823,0 - 9,GL,190,Männlich
1824,0 - 9,GL,183,Männlich
1825,0 - 9,GL,214,Männlich
1826,0 - 9,GL,207,Männlich
1827,0 - 9,GL,209,Männlich
1828,10 - 19,GL,200,Männlich
1829,10 - 19,GL,184,Männlich
1830,10 - 19,GL,164,Männlich
1831,10 - 19,GL,216,Männlich
1832,10 - 19,GL,212,Männlich
1833,10 - 19,GL,197,Männlich
1834,10 - 19,GL,193,Männlich
1835,10 - 19,GL,217,Männlich
1836,10 - 19,GL,211,Männlich
1837,10 - 19,GL,217,Männlich
1838,20 - 29,GL,277,Männlich
1839,20 - 29,GL,294,Männlich
1840,20 - 29,GL,289,Männlich
1841,20 - 29,GL,251,Männlich
1842,20 - 29,GL,276,Männlich
1843,20 - 29,GL,245,Männlich
1844,20 - 29,GL,260,Männlich
1845,20 - 29,GL,254,Männlich
1846,20 - 29,GL,263,Männlich
1847,20 - 29,GL,254,Männlich
1848,30 - 39,GL,289,Männlich
1849,30 - 39,GL,313,Männlich
1850,30 - 39,GL,264,Männlich
1851,30 - 39,GL,292,Männlich
1852,30 - 39,GL,300,Männlich
1853,30 - 39,GL,270,Männlich
1854,30 - 39,GL,264,Männlich
1855,30 - 39,GL,309,Männlich
1856,30 - 39,GL,276,Männlich
1857,30 - 39,GL,280,Männlich
1858,40 - 49,GL,274,Männlich
1859,40 - 49,GL,284,Männlich
1860,40 - 49,GL,275,Männlich
1861,40 - 49,GL,264,Männlich
1862,40 - 49,GL,240,Männlich
1863,40 - 49,GL,247,Männlich
1864,40 - 49,GL,263,Männlich
1865,40 - 49,GL,271,Männlich
1866,40 - 49,GL,229,Männlich
1867,40 - 49,GL,293,Männlich
1868,50 - 59,GL,290,Männlich
1869,50 - 59,GL,340,Männlich
1870,50 - 59,GL,294,Männlich
1871,50 - 59,GL,330,Männlich
1872,50 - 59,GL,309,Männlich
1873,50 - 59,GL,294,Männlich
1874,50 - 59,GL,322,Männlich
1875,50 - 59,GL,307,Männlich
1876,50 - 59,GL,352,Männlich
1877,50 - 59,GL,313,Männlich
1878,60 - 69,GL,222,Männlich
1879,60 - 69,GL,262,Männlich
1880,60 - 69,GL,291,Männlich
1881,60 - 69,GL,276,Männlich
1882,60 - 69,GL,236,Männlich
1883,60 - 69,GL,282,Männlich
1884,60 - 69,GL,300,Männlich
1885,60 - 69,GL,283,Männlich
1886,60 - 69,GL,229,Männlich
1887,60 - 69,GL,210,Männlich
1888,70 - 79,GL,133,Männlich
1889,70 - 79,GL,149,Männlich
1890,70 - 79,GL,177,Männlich
1891,70 - 79,GL,204,Männlich
1892,70 - 79,GL,168,Männlich
1893,70 - 79,GL,121,Männlich
1894,70 - 79,GL,179,Männlich
1895,70 - 79,GL,153,Männlich
1896,70 - 79,GL,249,Männlich
1897,70 - 79,GL,189,Männlich
1898,80+,GL,14,Männlich
1899,80+,GL,67,Männlich
1900,80+,GL,33,Männlich
1901,80+,GL,19,Männlich
1902,80+,GL,14,Männlich
1903,80+,GL,5,Männlich
1904,80+,GL,92,Männlich
1905,80+,GL,3,Männlich
1906,80+,GL,12,Männlich
1907,80+,GL,60,Männlich
1908,80+,GL,79,Männlich
1909,80+,GL,13,Männlich
1910,80+,GL,3,Männlich
1911,80+,GL,29,Männlich
1912,80+,GL,0,Männlich
1913,80+,GL,79,Männlich
1914,80+,GL,109,Männlich
1915,80+,GL,1,Männlich
1916,80+,GL,105,Männlich
1917,80+,GL,43,Männlich
1918,80+,GL,62,Männlich
1919,0 - 9,GL,191,Weiblich
1920,0 - 9,GL,192,Weiblich
1921,0 - 9,GL,184,Weiblich
1922,0 - 9,GL,173,Weiblich
1923,0 - 9,GL,190,Weiblich
1924,0 - 9,GL,207,Weiblich
1925,0 - 9,GL,184,Weiblich
1926,0 - 9,GL,200,Weiblich
1927,0 - 9,GL,188,Weiblich
1928,0 - 9,GL,193,Weiblich
1929,10 - 19,GL,183,Weiblich
1930,10 - 19,GL,184,Weiblich
1931,10 - 19,GL,172,Weiblich
1932,10 - 19,GL,186,Weiblich
1933,10 - 19,GL,178,Weiblich
1934,10 - 19,GL,173,Weiblich
1935,10 - 19,GL,187,Weiblich
1936,10 - 19,GL,202,Weiblich
1937,10 - 19,GL,186,Weiblich
1938,10 - 19,GL,191,Weiblich
1939,20 - 29,GL,260,Weiblich
1940,20 - 29,GL,243,Weiblich
1941,20 - 29,GL,222,Weiblich
1942,20 - 29,GL,208,Weiblich
1943,20 - 29,GL,218,Weiblich
1944,20 - 29,GL,248,Weiblich
1945,20 - 29,GL,231,Weiblich
1946,20 - 29,GL,224,Weiblich
1947,20 - 29,GL,239,Weiblich
1948,20 - 29,GL,238,Weiblich
1949,30 - 39,GL,267,Weiblich
1950,30 - 39,GL,262,Weiblich
1951,30 - 39,GL,251,Weiblich
1952,30 - 39,GL,270,Weiblich
1953,30 - 39,GL,266,Weiblich
1954,30 - 39,GL,241,Weiblich
1955,30 - 39,GL,238,Weiblich
1956,30 - 39,GL,280,Weiblich
1957,30 - 39,GL,266,Weiblich
1958,30 - 39,GL,266,Weiblich
1959,40 - 49,GL,234,Weiblich
1960,40 - 49,GL,274,Weiblich
1961,40 - 49,GL,243,Weiblich
1962,40 - 49,GL,254,Weiblich
1963,40 - 49,GL,252,Weiblich
1964,40 - 49,GL,250,Weiblich
1965,40 - 49,GL,226,Weiblich
1966,40 - 49,GL,253,Weiblich
1967,40 - 49,GL,261,Weiblich
1968,40 - 49,GL,256,Weiblich
1969,50 - 59,GL,340,Weiblich
1970,50 - 59,GL,332,Weiblich
1971,50 - 59,GL,288,Weiblich
1972,50 - 59,GL,308,Weiblich
1973,50 - 59,GL,284,Weiblich
1974,50 - 59,GL,297,Weiblich
1975,50 - 59,GL,330,Weiblich
1976,50 - 59,GL,310,Weiblich
1977,50 - 59,GL,312,Weiblich
1978,50 - 59,GL,308,Weiblich
1979,60 - 69,GL,245,Weiblich
1980,60 - 69,GL,251,Weiblich
1981,60 - 69,GL,225,Weiblich
1982,60 - 69,GL,278,Weiblich
1983,60 - 69,GL,232,Weiblich
1984,60 - 69,GL,283,Weiblich
1985,60 - 69,GL,229,Weiblich
1986,60 - 69,GL,226,Weiblich
1987,60 - 69,GL,238,Weiblich
1988,60 - 69,GL,244,Weiblich
1989,70 - 79,GL,187,Weiblich
1990,70 - 79,GL,184,Weiblich
1991,70 - 79,GL,128,Weiblich
1992,70 - 79,GL,174,Weiblich
1993,70 - 79,GL,208,Weiblich
1994,70 - 79,GL,179,Weiblich
1995,70 - 79,GL,136,Weiblich
1996,70 - 79,GL,194,Weiblich
1997,70 - 79,GL,174,Weiblich
1998,70 - 79,GL,215,Weiblich
1999,80+,GL,106,Weiblich
2000,80+,GL,18,Weiblich
2001,80+,GL,50,Weiblich
2002,80+,GL,66,Weiblich
2003,80+,GL,109,Weiblich
2004,80+,GL,104,Weiblich
2005,80+,GL,4,Weiblich
2006,80+,GL,128,Weiblich
2007,80+,GL,147,Weiblich
2008,80+,GL,7,Weiblich
2009,80+,GL,13,Weiblich
2010,80+,GL,116,Weiblich
2011,80+,GL,34,Weiblich
2012,80+,GL,4,Weiblich
2013,80+,GL,116,Weiblich
2014,80+,GL,144,Weiblich
2015,80+,GL,89,Weiblich
2016,80+,GL,55,Weiblich
2017,80+,GL,15,Weiblich
2018,80+,GL,66,Weiblich
2019,80+,GL,40,Weiblich
2020,0 - 9,GR,913,Männlich
2021,0 - 9,GR,913,Männlich
2022,0 - 9,GR,921,Männlich
2023,0 - 9,GR,905,Männlich
2024,0 - 9,GR,920,Männlich
2025,0 - 9,GR,903,Männlich
2026,0 - 9,GR,861,Männlich
2027,0 - 9,GR,917,Männlich
2028,0 - 9,GR,893,Männlich
2029,0 - 9,GR,876,Männlich
2030,10 - 19,GR,919,Männlich
2031,10 - 19,GR,844,Männlich
2032,10 - 19,GR,899,Männlich
2033,10 - 19,GR,1074,Männlich
2034,10 - 19,GR,1112,Männlich
2035,10 - 19,GR,832,Männlich
2036,10 - 19,GR,958,Männlich
2037,10 - 19,GR,857,Männlich
2038,10 - 19,GR,920,Männlich
2039,10 - 19,GR,1018,Männlich
2040,20 - 29,GR,1224,Männlich
2041,20 - 29,GR,1310,Männlich
2042,20 - 29,GR,1118,Männlich
2043,20 - 29,GR,1176,Männlich
2044,20 - 29,GR,1327,Männlich
2045,20 - 29,GR,1152,Männlich
2046,20 - 29,GR,1246,Männlich
2047,20 - 29,GR,1162,Männlich
2048,20 - 29,GR,1231,Männlich
2049,20 - 29,GR,1110,Männlich
2050,30 - 39,GR,1328,Männlich
2051,30 - 39,GR,1345,Männlich
2052,30 - 39,GR,1204,Männlich
2053,30 - 39,GR,1327,Männlich
2054,30 - 39,GR,1340,Männlich
2055,30 - 39,GR,1332,Männlich
2056,30 - 39,GR,1355,Männlich
2057,30 - 39,GR,1309,Männlich
2058,30 - 39,GR,1284,Männlich
2059,30 - 39,GR,1280,Männlich
2060,40 - 49,GR,1491,Männlich
2061,40 - 49,GR,1405,Männlich
2062,40 - 49,GR,1609,Männlich
2063,40 - 49,GR,1228,Männlich
2064,40 - 49,GR,1240,Männlich
2065,40 - 49,GR,1275,Männlich
2066,40 - 49,GR,1311,Männlich
2067,40 - 49,GR,1313,Männlich
2068,40 - 49,GR,1281,Männlich
2069,40 - 49,GR,1499,Männlich
2070,50 - 59,GR,1605,Männlich
2071,50 - 59,GR,1607,Männlich
2072,50 - 59,GR,1598,Männlich
2073,50 - 59,GR,1506,Männlich
2074,50 - 59,GR,1504,Männlich
2075,50 - 59,GR,1653,Männlich
2076,50 - 59,GR,1592,Männlich
2077,50 - 59,GR,1591,Männlich
2078,50 - 59,GR,1690,Männlich
2079,50 - 59,GR,1594,Männlich
2080,60 - 69,GR,1206,Männlich
2081,60 - 69,GR,1465,Männlich
2082,60 - 69,GR,1287,Männlich
2083,60 - 69,GR,1243,Männlich
2084,60 - 69,GR,1201,Männlich
2085,60 - 69,GR,1396,Männlich
2086,60 - 69,GR,1313,Männlich
2087,60 - 69,GR,1215,Männlich
2088,60 - 69,GR,1260,Männlich
2089,60 - 69,GR,1143,Männlich
2090,70 - 79,GR,835,Männlich
2091,70 - 79,GR,1004,Männlich
2092,70 - 79,GR,1166,Männlich
2093,70 - 79,GR,620,Männlich
2094,70 - 79,GR,1036,Männlich
2095,70 - 79,GR,694,Männlich
2096,70 - 79,GR,954,Männlich
2097,70 - 79,GR,1043,Männlich
2098,70 - 79,GR,767,Männlich
2099,70 - 79,GR,940,Männlich
2100,80+,GR,15,Männlich
2101,80+,GR,3,Männlich
2102,80+,GR,48,Männlich
2103,80+,GR,114,Männlich
2104,80+,GR,383,Männlich
2105,80+,GR,108,Männlich
2106,80+,GR,544,Männlich
2107,80+,GR,10,Männlich
2108,80+,GR,428,Männlich
2109,80+,GR,41,Männlich
2110,80+,GR,171,Männlich
2111,80+,GR,605,Männlich
2112,80+,GR,294,Männlich
2113,80+,GR,499,Männlich
2114,80+,GR,9,Männlich
