Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AI_diff,AI_pc,AR_diff,AR_pc,BE_diff,BE_pc,BL_diff,BL_pc,BS_diff,BS_pc,FR_diff,FR_pc,GE_diff,GE_pc,GL_diff,GL_pc,GR_diff,GR_pc,JU_diff,JU_pc,LU_diff,LU_pc,NE_diff,NE_pc,NW_diff,NW_pc,OW_diff,OW_pc,SG_diff,SG_pc,SH_diff,SH_pc,SO_diff,SO_pc,SZ_diff,SZ_pc,TG_diff,TG_pc,TI_diff,TI_pc,UR_diff,UR_pc,VD_diff,VD_pc,VS_diff,VS_pc,ZG_diff,ZG_pc,ZH_diff,ZH_pc,CH_diff,CH_pc
2020-06-10,7.0,0.0,,9.0,4.0,5.0,15.0,16.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,8.0,1.0,,0.0,1.0,1.0,,20.0,19.0,5.0,26.0,154.0,0.0,4.602332198968026e-06,0.0,0.0,0.0,,0.0,5.917284255816033e-06,1.0,2.6299041136960146e-06,0.0,3.2873801421200185e-06,2.0,9.862140426360054e-06,2.0,1.0519616454784058e-05,0.0,0.0,0.0,6.574760284240036e-07,0.0,0.0,0.0,6.574760284240036e-07,0.0,5.917284255816033e-06,0.0,0.0,0.0,0.0,3.0,5.259808227392029e-06,0.0,6.574760284240036e-07,0.0,,0.0,0.0,0.0,6.574760284240036e-07,0.0,6.574760284240036e-07,0.0,,1.0,1.3149520568480074e-05,4.0,1.249204454005607e-05,2.0,3.2873801421200185e-06,3.0,1.7094376739024094e-05,18.0,0.00010125130837729657
2020-06-11,10.0,,,14.0,4.0,5.0,16.0,16.0,0.0,2.0,0.0,1.0,9.0,0.0,,10.0,1.0,,1.0,1.0,2.0,,24.0,23.0,5.0,28.0,178.0,3.0,6.574760284240037e-06,0.0,,0.0,,5.0,9.204664397936052e-06,0.0,2.6299041136960146e-06,0.0,3.2873801421200185e-06,1.0,1.0519616454784058e-05,0.0,1.0519616454784058e-05,0.0,0.0,1.0,1.3149520568480073e-06,0.0,0.0,0.0,6.574760284240036e-07,0.0,5.917284255816033e-06,0.0,0.0,0.0,,2.0,6.574760284240037e-06,0.0,6.574760284240036e-07,0.0,,1.0,6.574760284240036e-07,0.0,6.574760284240036e-07,1.0,1.3149520568480073e-06,0.0,,4.0,1.577942468217609e-05,4.0,1.5121948653752085e-05,0.0,3.2873801421200185e-06,2.0,1.8409328795872103e-05,24.0,0.00011703073305947266
2020-06-12,13.0,0.0,0.0,17.0,4.0,5.0,16.0,20.0,0.0,2.0,0.0,,10.0,0.0,,10.0,1.0,,1.0,1.0,2.0,,31.0,27.0,9.0,30.0,206.0,3.0,8.547188369512047e-06,0.0,0.0,0.0,0.0,3.0,1.1177092483208063e-05,0.0,2.6299041136960146e-06,0.0,3.2873801421200185e-06,0.0,1.0519616454784058e-05,4.0,1.3149520568480074e-05,0.0,0.0,0.0,1.3149520568480073e-06,0.0,0.0,0.0,,1.0,6.574760284240037e-06,0.0,0.0,0.0,,0.0,6.574760284240037e-06,0.0,6.574760284240036e-07,0.0,,0.0,6.574760284240036e-07,0.0,6.574760284240036e-07,0.0,1.3149520568480073e-06,0.0,,7.0,2.0381756881144114e-05,4.0,1.77518527674481e-05,4.0,5.917284255816033e-06,2.0,1.9724280852720108e-05,28.0,0.00013544006185534476
2020-06-13,14.0,,,,4.0,5.0,20.0,20.0,,2.0,1.0,,11.0,0.0,,10.0,,,1.0,1.0,3.0,,31.0,27.0,9.0,33.0,217.0,1.0,9.204664397936052e-06,0.0,,0.0,,0.0,,0.0,2.6299041136960146e-06,0.0,3.2873801421200185e-06,4.0,1.3149520568480074e-05,0.0,1.3149520568480074e-05,0.0,,0.0,1.3149520568480073e-06,1.0,6.574760284240036e-07,0.0,,1.0,7.23223631266404e-06,0.0,0.0,0.0,,0.0,6.574760284240037e-06,0.0,,0.0,,0.0,6.574760284240036e-07,0.0,6.574760284240036e-07,1.0,1.972428085272011e-06,0.0,,0.0,2.0381756881144114e-05,0.0,1.77518527674481e-05,0.0,5.917284255816033e-06,3.0,2.169670893799212e-05,11.0,0.0001426722981680088
2020-06-14,16.0,,,,4.0,5.0,22.0,20.0,,2.0,1.0,3.0,11.0,0.0,,10.0,,8.0,1.0,1.0,6.0,,32.0,27.0,9.0,38.0,234.0,2.0,1.0519616454784058e-05,0.0,,0.0,,0.0,,0.0,2.6299041136960146e-06,0.0,3.2873801421200185e-06,2.0,1.446447262532808e-05,0.0,1.3149520568480074e-05,0.0,,0.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,2.0,1.972428085272011e-06,0.0,7.23223631266404e-06,0.0,0.0,0.0,,0.0,6.574760284240037e-06,0.0,,2.0,5.259808227392029e-06,0.0,6.574760284240036e-07,0.0,6.574760284240036e-07,3.0,3.944856170544022e-06,0.0,,1.0,2.1039232909568117e-05,0.0,1.77518527674481e-05,0.0,5.917284255816033e-06,5.0,2.498408908011214e-05,17.0,0.00015384939065121684
2020-06-15,17.0,,0.0,,4.0,5.0,22.0,22.0,0.0,2.0,1.0,,12.0,0.0,0.0,11.0,3.0,8.0,1.0,1.0,6.0,,35.0,32.0,11.0,45.0,258.0,1.0,1.1177092483208063e-05,0.0,,0.0,0.0,0.0,,0.0,2.6299041136960146e-06,0.0,3.2873801421200185e-06,0.0,1.446447262532808e-05,2.0,1.446447262532808e-05,0.0,0.0,0.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,0.0,,1.0,7.889712341088045e-06,0.0,0.0,0.0,0.0,1.0,7.23223631266404e-06,2.0,1.972428085272011e-06,0.0,5.259808227392029e-06,0.0,6.574760284240036e-07,0.0,6.574760284240036e-07,0.0,3.944856170544022e-06,0.0,,3.0,2.3011660994840128e-05,5.0,2.1039232909568117e-05,2.0,7.23223631266404e-06,7.0,2.9586421279080164e-05,24.0,0.00016962881533339293
2020-06-16,18.0,0.0,,,5.0,5.0,23.0,22.0,0.0,2.0,1.0,5.0,13.0,0.0,0.0,11.0,3.0,8.0,1.0,2.0,6.0,,43.0,36.0,12.0,52.0,285.0,1.0,1.1834568511632065e-05,0.0,0.0,0.0,,0.0,,1.0,3.2873801421200185e-06,0.0,3.2873801421200185e-06,1.0,1.5121948653752085e-05,0.0,1.446447262532808e-05,0.0,0.0,0.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,2.0,3.2873801421200185e-06,1.0,8.547188369512047e-06,0.0,0.0,0.0,0.0,0.0,7.23223631266404e-06,0.0,1.972428085272011e-06,0.0,5.259808227392029e-06,0.0,6.574760284240036e-07,1.0,1.3149520568480073e-06,0.0,3.944856170544022e-06,0.0,,8.0,2.827146922223216e-05,4.0,2.366913702326413e-05,1.0,7.889712341088045e-06,7.0,3.418875347804819e-05,27.0,0.00018738066810084105
2020-06-17,18.0,0.0,,,5.0,6.0,24.0,23.0,0.0,2.0,1.0,5.0,14.0,0.0,0.0,11.0,3.0,9.0,1.0,2.0,8.0,,48.0,37.0,13.0,62.0,309.0,0.0,1.1834568511632065e-05,0.0,0.0,0.0,,0.0,,0.0,3.2873801421200185e-06,1.0,3.944856170544022e-06,1.0,1.577942468217609e-05,1.0,1.5121948653752085e-05,0.0,0.0,0.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,0.0,3.2873801421200185e-06,1.0,9.204664397936052e-06,0.0,0.0,0.0,0.0,0.0,7.23223631266404e-06,0.0,1.972428085272011e-06,1.0,5.917284255816033e-06,0.0,6.574760284240036e-07,0.0,1.3149520568480073e-06,2.0,5.259808227392029e-06,0.0,,5.0,3.155884936435218e-05,1.0,2.4326613051688137e-05,1.0,8.547188369512047e-06,10.0,4.076351376228823e-05,24.0,0.00020316009278301714
2020-06-18,21.0,,,,5.0,6.0,26.0,23.0,0.0,2.0,1.0,5.0,14.0,0.0,0.0,12.0,3.0,9.0,1.0,2.0,9.0,,50.0,38.0,13.0,67.0,324.0,3.0,1.3806996596904076e-05,0.0,,0.0,,0.0,,0.0,3.2873801421200185e-06,0.0,3.944856170544022e-06,2.0,1.7094376739024094e-05,0.0,1.5121948653752085e-05,0.0,0.0,0.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,0.0,3.2873801421200185e-06,0.0,9.204664397936052e-06,0.0,0.0,0.0,0.0,1.0,7.889712341088045e-06,0.0,1.972428085272011e-06,0.0,5.917284255816033e-06,0.0,6.574760284240036e-07,0.0,1.3149520568480073e-06,1.0,5.917284255816033e-06,0.0,,2.0,3.2873801421200184e-05,1.0,2.498408908011214e-05,0.0,8.547188369512047e-06,5.0,4.4050893904408245e-05,15.0,0.00021302223320937718
2020-06-19,23.0,0.0,0.0,,5.0,7.0,27.0,27.0,0.0,2.0,1.0,6.0,16.0,0.0,0.0,12.0,3.0,11.0,2.0,2.0,9.0,,56.0,46.0,13.0,68.0,353.0,2.0,1.5121948653752085e-05,0.0,0.0,0.0,0.0,0.0,,0.0,3.2873801421200185e-06,1.0,4.602332198968026e-06,1.0,1.77518527674481e-05,4.0,1.77518527674481e-05,0.0,0.0,0.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,1.0,3.944856170544022e-06,2.0,1.0519616454784058e-05,0.0,0.0,0.0,0.0,0.0,7.889712341088045e-06,0.0,1.972428085272011e-06,2.0,7.23223631266404e-06,1.0,1.3149520568480073e-06,0.0,1.3149520568480073e-06,0.0,5.917284255816033e-06,0.0,,6.0,3.6818657591744206e-05,8.0,3.024389730750417e-05,0.0,8.547188369512047e-06,1.0,4.470836993283225e-05,29.0,0.0002320890380336733
