age_group,canton,cases,date,fatalities,sex
40 - 49,SH,0,2020-02-24,0,1
40 - 49,SO,0,2020-02-24,0,1
40 - 49,SZ,0,2020-02-24,0,1
40 - 49,TG,0,2020-02-24,0,1
40 - 49,TI,0,2020-02-24,0,1
40 - 49,UR,0,2020-02-24,0,1
40 - 49,VD,0,2020-02-24,0,1
40 - 49,VS,0,2020-02-24,0,1
40 - 49,ZG,0,2020-02-24,0,1
40 - 49,ZH,0,2020-02-24,0,1
50 - 59,AG,0,2020-02-24,0,1
50 - 59,AI,0,2020-02-24,0,1
50 - 59,AR,0,2020-02-24,0,1
50 - 59,BE,0,2020-02-24,0,1
50 - 59,BL,0,2020-02-24,0,1
50 - 59,BS,0,2020-02-24,0,1
50 - 59,FL,0,2020-02-24,0,1
50 - 59,FR,0,2020-02-24,0,1
50 - 59,GE,0,2020-02-24,0,1
50 - 59,GL,0,2020-02-24,0,1
50 - 59,GR,0,2020-02-24,0,1
50 - 59,JU,0,2020-02-24,0,1
50 - 59,LU,0,2020-02-24,0,1
50 - 59,NE,0,2020-02-24,0,1
50 - 59,NW,0,2020-02-24,0,1
50 - 59,OW,0,2020-02-24,0,1
50 - 59,SG,0,2020-02-24,0,1
50 - 59,SH,0,2020-02-24,0,1
50 - 59,SO,0,2020-02-24,0,1
50 - 59,SZ,0,2020-02-24,0,1
50 - 59,TG,0,2020-02-24,0,1
50 - 59,TI,0,2020-02-24,0,1
50 - 59,UR,0,2020-02-24,0,1
50 - 59,VD,0,2020-02-24,0,1
50 - 59,VS,0,2020-02-24,0,1
50 - 59,ZG,0,2020-02-24,0,1
50 - 59,ZH,0,2020-02-24,0,1
60 - 69,AG,0,2020-02-24,0,1
60 - 69,AI,0,2020-02-24,0,1
60 - 69,AR,0,2020-02-24,0,1
60 - 69,BE,0,2020-02-24,0,1
60 - 69,BL,0,2020-02-24,0,1
60 - 69,BS,0,2020-02-24,0,1
60 - 69,FL,0,2020-02-24,0,1
60 - 69,FR,0,2020-02-24,0,1
60 - 69,GE,0,2020-02-24,0,1
60 - 69,GL,0,2020-02-24,0,1
60 - 69,GR,0,2020-02-24,0,1
60 - 69,JU,0,2020-02-24,0,1
60 - 69,LU,0,2020-02-24,0,1
60 - 69,NE,0,2020-02-24,0,1
60 - 69,NW,0,2020-02-24,0,1
60 - 69,OW,0,2020-02-24,0,1
60 - 69,SG,0,2020-02-24,0,1
60 - 69,SH,0,2020-02-24,0,1
60 - 69,SO,0,2020-02-24,0,1
60 - 69,SZ,0,2020-02-24,0,1
60 - 69,TG,0,2020-02-24,0,1
60 - 69,TI,0,2020-02-24,0,1
60 - 69,UR,0,2020-02-24,0,1
60 - 69,VD,0,2020-02-24,0,1
60 - 69,VS,0,2020-02-24,0,1
60 - 69,ZG,0,2020-02-24,0,1
60 - 69,ZH,0,2020-02-24,0,1
70 - 79,AG,0,2020-02-24,0,1
70 - 79,AI,0,2020-02-24,0,1
70 - 79,AR,0,2020-02-24,0,1
70 - 79,BE,0,2020-02-24,0,1
70 - 79,BL,0,2020-02-24,0,1
70 - 79,BS,0,2020-02-24,0,1
70 - 79,FL,0,2020-02-24,0,1
70 - 79,FR,0,2020-02-24,0,1
70 - 79,GE,0,2020-02-24,0,1
70 - 79,GL,0,2020-02-24,0,1
70 - 79,GR,0,2020-02-24,0,1
70 - 79,JU,0,2020-02-24,0,1
70 - 79,LU,0,2020-02-24,0,1
70 - 79,NE,0,2020-02-24,0,1
70 - 79,NW,0,2020-02-24,0,1
70 - 79,OW,0,2020-02-24,0,1
70 - 79,SG,0,2020-02-24,0,1
70 - 79,SH,0,2020-02-24,0,1
70 - 79,SO,0,2020-02-24,0,1
70 - 79,SZ,0,2020-02-24,0,1
70 - 79,TG,0,2020-02-24,0,1
70 - 79,TI,1,2020-02-24,0,1
70 - 79,UR,0,2020-02-24,0,1
70 - 79,VD,0,2020-02-24,0,1
70 - 79,VS,0,2020-02-24,0,1
70 - 79,ZG,0,2020-02-24,0,1
70 - 79,ZH,0,2020-02-24,0,1
80+,AG,0,2020-02-24,0,1
80+,AI,0,2020-02-24,0,1
80+,AR,0,2020-02-24,0,1
80+,BE,0,2020-02-24,0,1
80+,BL,0,2020-02-24,0,1
80+,BS,0,2020-02-24,0,1
80+,FL,0,2020-02-24,0,1
80+,FR,0,2020-02-24,0,1
80+,GE,0,2020-02-24,0,1
80+,GL,0,2020-02-24,0,1
80+,GR,0,2020-02-24,0,1
80+,JU,0,2020-02-24,0,1
80+,LU,0,2020-02-24,0,1
80+,NE,0,2020-02-24,0,1
80+,NW,0,2020-02-24,0,1
80+,OW,0,2020-02-24,0,1
80+,SG,0,2020-02-24,0,1
80+,SH,0,2020-02-24,0,1
80+,SO,0,2020-02-24,0,1
80+,SZ,0,2020-02-24,0,1
80+,TG,0,2020-02-24,0,1
80+,TI,0,2020-02-24,0,1
80+,UR,0,2020-02-24,0,1
80+,VD,0,2020-02-24,0,1
80+,VS,0,2020-02-24,0,1
80+,ZG,0,2020-02-24,0,1
80+,ZH,0,2020-02-24,0,1
Unbekannt,AG,0,2020-02-24,0,1
Unbekannt,AI,0,2020-02-24,0,1
Unbekannt,AR,0,2020-02-24,0,1
Unbekannt,BE,0,2020-02-24,0,1
Unbekannt,BL,0,2020-02-24,0,1
Unbekannt,BS,0,2020-02-24,0,1
Unbekannt,FL,0,2020-02-24,0,1
Unbekannt,FR,0,2020-02-24,0,1
Unbekannt,GE,0,2020-02-24,0,1
Unbekannt,GL,0,2020-02-24,0,1
Unbekannt,GR,0,2020-02-24,0,1
Unbekannt,JU,0,2020-02-24,0,1
